YIL,ILKAYITNO,ILADI,ILCEKAYITNO,ILCEADI,KOYKAYITNO,KOYADI,MAHALLEKODU,MAHALLEADI,EGITIM_DURUMU,EGITIM_DURUMU_ADI,NUFUS
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1445,BATTALGAZİ,0,BILINMEYEN,430.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1445,BATTALGAZİ,1,OKUR-YAZAR DEĞIL,668.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1445,BATTALGAZİ,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,2821.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1445,BATTALGAZİ,3,İLKOKUL MEZUNU,7968.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1445,BATTALGAZİ,4,İLKÖĞRETIM MEZUNU,2723.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1445,BATTALGAZİ,5,ORTAOKUL VEYA DENGI MEZUNU,6397.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1445,BATTALGAZİ,6,LISE VEYA DENGI MEZUNU,7209.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1445,BATTALGAZİ,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,3139.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1445,BATTALGAZİ,8,YÜKSEK LISANS,186.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1445,BATTALGAZİ,9,DOKTORA,20.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1450,AYDINLIKEVLER,0,BILINMEYEN,234.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1450,AYDINLIKEVLER,1,OKUR-YAZAR DEĞIL,310.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1450,AYDINLIKEVLER,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,1214.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1450,AYDINLIKEVLER,3,İLKOKUL MEZUNU,3745.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1450,AYDINLIKEVLER,4,İLKÖĞRETIM MEZUNU,604.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1450,AYDINLIKEVLER,5,ORTAOKUL VEYA DENGI MEZUNU,2841.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1450,AYDINLIKEVLER,6,LISE VEYA DENGI MEZUNU,6498.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1450,AYDINLIKEVLER,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,6382.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1450,AYDINLIKEVLER,8,YÜKSEK LISANS,930.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1450,AYDINLIKEVLER,9,DOKTORA,141.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1452,BARAJ,0,BILINMEYEN,163.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1452,BARAJ,1,OKUR-YAZAR DEĞIL,105.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1452,BARAJ,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,1302.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1452,BARAJ,3,İLKOKUL MEZUNU,2002.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1452,BARAJ,4,İLKÖĞRETIM MEZUNU,555.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1452,BARAJ,5,ORTAOKUL VEYA DENGI MEZUNU,1942.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1452,BARAJ,6,LISE VEYA DENGI MEZUNU,3734.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1452,BARAJ,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,4590.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1452,BARAJ,8,YÜKSEK LISANS,694.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1452,BARAJ,9,DOKTORA,42.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1453,BAŞPINAR,0,BILINMEYEN,174.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1453,BAŞPINAR,1,OKUR-YAZAR DEĞIL,367.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1453,BAŞPINAR,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,1569.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1453,BAŞPINAR,3,İLKOKUL MEZUNU,3870.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1453,BAŞPINAR,4,İLKÖĞRETIM MEZUNU,1292.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1453,BAŞPINAR,5,ORTAOKUL VEYA DENGI MEZUNU,3306.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1453,BAŞPINAR,6,LISE VEYA DENGI MEZUNU,3810.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1453,BAŞPINAR,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,2067.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1453,BAŞPINAR,8,YÜKSEK LISANS,138.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1453,BAŞPINAR,9,DOKTORA,15.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1455,BEŞİKKAYA,0,BILINMEYEN,253.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1455,BEŞİKKAYA,1,OKUR-YAZAR DEĞIL,763.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1455,BEŞİKKAYA,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,3370.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1455,BEŞİKKAYA,3,İLKOKUL MEZUNU,8010.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1455,BEŞİKKAYA,4,İLKÖĞRETIM MEZUNU,2801.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1455,BEŞİKKAYA,5,ORTAOKUL VEYA DENGI MEZUNU,7148.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1455,BEŞİKKAYA,6,LISE VEYA DENGI MEZUNU,7372.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1455,BEŞİKKAYA,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,3002.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1455,BEŞİKKAYA,8,YÜKSEK LISANS,186.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1455,BEŞİKKAYA,9,DOKTORA,15.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1462,DOĞANTEPE,0,BILINMEYEN,96.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1462,DOĞANTEPE,1,OKUR-YAZAR DEĞIL,273.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1462,DOĞANTEPE,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,927.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1462,DOĞANTEPE,3,İLKOKUL MEZUNU,2697.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1462,DOĞANTEPE,4,İLKÖĞRETIM MEZUNU,994.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1462,DOĞANTEPE,5,ORTAOKUL VEYA DENGI MEZUNU,2195.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1462,DOĞANTEPE,6,LISE VEYA DENGI MEZUNU,2617.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1462,DOĞANTEPE,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,1312.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1462,DOĞANTEPE,8,YÜKSEK LISANS,95.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1462,DOĞANTEPE,9,DOKTORA,
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1468,FERİDUN ÇELİK,0,BILINMEYEN,94.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1468,FERİDUN ÇELİK,1,OKUR-YAZAR DEĞIL,214.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1468,FERİDUN ÇELİK,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,812.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1468,FERİDUN ÇELİK,3,İLKOKUL MEZUNU,2260.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1468,FERİDUN ÇELİK,4,İLKÖĞRETIM MEZUNU,725.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1468,FERİDUN ÇELİK,5,ORTAOKUL VEYA DENGI MEZUNU,1819.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1468,FERİDUN ÇELİK,6,LISE VEYA DENGI MEZUNU,2172.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1468,FERİDUN ÇELİK,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,1289.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1468,FERİDUN ÇELİK,8,YÜKSEK LISANS,69.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1468,FERİDUN ÇELİK,9,DOKTORA,
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1469,ATIFBEY,0,BILINMEYEN,124.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1469,ATIFBEY,1,OKUR-YAZAR DEĞIL,101.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1469,ATIFBEY,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,201.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1469,ATIFBEY,3,İLKOKUL MEZUNU,508.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1469,ATIFBEY,4,İLKÖĞRETIM MEZUNU,207.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1469,ATIFBEY,5,ORTAOKUL VEYA DENGI MEZUNU,367.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1469,ATIFBEY,6,LISE VEYA DENGI MEZUNU,440.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1469,ATIFBEY,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,254.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1469,ATIFBEY,8,YÜKSEK LISANS,60.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1469,ATIFBEY,9,DOKTORA,
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1471,GÜLTEPE,0,BILINMEYEN,234.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1471,GÜLTEPE,1,OKUR-YAZAR DEĞIL,618.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1471,GÜLTEPE,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,1724.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1471,GÜLTEPE,3,İLKOKUL MEZUNU,3939.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1471,GÜLTEPE,4,İLKÖĞRETIM MEZUNU,1413.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1471,GÜLTEPE,5,ORTAOKUL VEYA DENGI MEZUNU,3419.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1471,GÜLTEPE,6,LISE VEYA DENGI MEZUNU,4048.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1471,GÜLTEPE,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,2801.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1471,GÜLTEPE,8,YÜKSEK LISANS,371.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1471,GÜLTEPE,9,DOKTORA,39.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1472,HACETTEPE,0,BILINMEYEN,58.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1472,HACETTEPE,1,OKUR-YAZAR DEĞIL,60.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1472,HACETTEPE,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,291.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1472,HACETTEPE,3,İLKOKUL MEZUNU,1023.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1472,HACETTEPE,4,İLKÖĞRETIM MEZUNU,253.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1472,HACETTEPE,5,ORTAOKUL VEYA DENGI MEZUNU,748.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1472,HACETTEPE,6,LISE VEYA DENGI MEZUNU,3360.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1472,HACETTEPE,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,1235.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1472,HACETTEPE,8,YÜKSEK LISANS,415.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1472,HACETTEPE,9,DOKTORA,31.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1473,GÜNEŞEVLER,0,BILINMEYEN,265.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1473,GÜNEŞEVLER,1,OKUR-YAZAR DEĞIL,501.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1473,GÜNEŞEVLER,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,2601.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1473,GÜNEŞEVLER,3,İLKOKUL MEZUNU,6378.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1473,GÜNEŞEVLER,4,İLKÖĞRETIM MEZUNU,1440.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1473,GÜNEŞEVLER,5,ORTAOKUL VEYA DENGI MEZUNU,4996.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1473,GÜNEŞEVLER,6,LISE VEYA DENGI MEZUNU,8283.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1473,GÜNEŞEVLER,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,7567.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1473,GÜNEŞEVLER,8,YÜKSEK LISANS,1102.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1473,GÜNEŞEVLER,9,DOKTORA,127.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1476,KALE,0,BILINMEYEN,104.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1476,KALE,1,OKUR-YAZAR DEĞIL,151.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1476,KALE,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,417.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1476,KALE,3,İLKOKUL MEZUNU,1071.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1476,KALE,4,İLKÖĞRETIM MEZUNU,363.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1476,KALE,5,ORTAOKUL VEYA DENGI MEZUNU,753.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1476,KALE,6,LISE VEYA DENGI MEZUNU,651.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1476,KALE,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,251.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1476,KALE,8,YÜKSEK LISANS,
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1476,KALE,9,DOKTORA,
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1478,KARAPÜRÇEK,0,BILINMEYEN,503.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1478,KARAPÜRÇEK,1,OKUR-YAZAR DEĞIL,1328.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1478,KARAPÜRÇEK,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,7673.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1478,KARAPÜRÇEK,3,İLKOKUL MEZUNU,18181.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1478,KARAPÜRÇEK,4,İLKÖĞRETIM MEZUNU,6233.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1478,KARAPÜRÇEK,5,ORTAOKUL VEYA DENGI MEZUNU,15818.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1478,KARAPÜRÇEK,6,LISE VEYA DENGI MEZUNU,16340.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1478,KARAPÜRÇEK,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,7682.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1478,KARAPÜRÇEK,8,YÜKSEK LISANS,581.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1478,KARAPÜRÇEK,9,DOKTORA,43.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1483,ÖNDER,0,BILINMEYEN,67.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1483,ÖNDER,1,OKUR-YAZAR DEĞIL,38.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1483,ÖNDER,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,131.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1483,ÖNDER,3,İLKOKUL MEZUNU,420.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1483,ÖNDER,4,İLKÖĞRETIM MEZUNU,112.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1483,ÖNDER,5,ORTAOKUL VEYA DENGI MEZUNU,271.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1483,ÖNDER,6,LISE VEYA DENGI MEZUNU,308.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1483,ÖNDER,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,163.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1483,ÖNDER,8,YÜKSEK LISANS,
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1484,ÖRNEK,0,BILINMEYEN,282.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1484,ÖRNEK,1,OKUR-YAZAR DEĞIL,389.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1484,ÖRNEK,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,1219.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1484,ÖRNEK,3,İLKOKUL MEZUNU,3261.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1484,ÖRNEK,4,İLKÖĞRETIM MEZUNU,977.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1484,ÖRNEK,5,ORTAOKUL VEYA DENGI MEZUNU,2643.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1484,ÖRNEK,6,LISE VEYA DENGI MEZUNU,4135.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1484,ÖRNEK,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,2257.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1484,ÖRNEK,8,YÜKSEK LISANS,331.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1484,ÖRNEK,9,DOKTORA,45.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1492,ULUBEY,0,BILINMEYEN,112.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1492,ULUBEY,1,OKUR-YAZAR DEĞIL,113.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1492,ULUBEY,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,279.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1492,ULUBEY,3,İLKOKUL MEZUNU,1030.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1492,ULUBEY,4,İLKÖĞRETIM MEZUNU,337.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1492,ULUBEY,5,ORTAOKUL VEYA DENGI MEZUNU,752.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1492,ULUBEY,6,LISE VEYA DENGI MEZUNU,801.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1492,ULUBEY,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,483.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1492,ULUBEY,8,YÜKSEK LISANS,40.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1492,ULUBEY,9,DOKTORA,
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1495,YILDIZTEPE,0,BILINMEYEN,192.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1495,YILDIZTEPE,1,OKUR-YAZAR DEĞIL,455.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1495,YILDIZTEPE,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,2136.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1495,YILDIZTEPE,3,İLKOKUL MEZUNU,5407.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1495,YILDIZTEPE,4,İLKÖĞRETIM MEZUNU,1562.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1495,YILDIZTEPE,5,ORTAOKUL VEYA DENGI MEZUNU,4522.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1495,YILDIZTEPE,6,LISE VEYA DENGI MEZUNU,6831.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1495,YILDIZTEPE,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,4813.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1495,YILDIZTEPE,8,YÜKSEK LISANS,441.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1495,YILDIZTEPE,9,DOKTORA,39.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1498,ZÜBEYDE HANIM,0,BILINMEYEN,94.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1498,ZÜBEYDE HANIM,1,OKUR-YAZAR DEĞIL,206.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1498,ZÜBEYDE HANIM,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,1067.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1498,ZÜBEYDE HANIM,3,İLKOKUL MEZUNU,2449.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1498,ZÜBEYDE HANIM,4,İLKÖĞRETIM MEZUNU,642.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1498,ZÜBEYDE HANIM,5,ORTAOKUL VEYA DENGI MEZUNU,1952.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1498,ZÜBEYDE HANIM,6,LISE VEYA DENGI MEZUNU,4797.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1498,ZÜBEYDE HANIM,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,2655.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1498,ZÜBEYDE HANIM,8,YÜKSEK LISANS,376.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1498,ZÜBEYDE HANIM,9,DOKTORA,52.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1499,SOLFASOL,0,BILINMEYEN,49.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1499,SOLFASOL,1,OKUR-YAZAR DEĞIL,54.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1499,SOLFASOL,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,123.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1499,SOLFASOL,3,İLKOKUL MEZUNU,466.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1499,SOLFASOL,4,İLKÖĞRETIM MEZUNU,120.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1499,SOLFASOL,5,ORTAOKUL VEYA DENGI MEZUNU,257.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1499,SOLFASOL,6,LISE VEYA DENGI MEZUNU,285.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1499,SOLFASOL,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,100.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1499,SOLFASOL,8,YÜKSEK LISANS,
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1501,AYDINCIK,1,OKUR-YAZAR DEĞIL,
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1501,AYDINCIK,2,OKUR-YAZAR FAKAT BIR OKUL BITIRMEDI,20.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1501,AYDINCIK,3,İLKOKUL MEZUNU,55.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1501,AYDINCIK,4,İLKÖĞRETIM MEZUNU,
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1501,AYDINCIK,5,ORTAOKUL VEYA DENGI MEZUNU,22.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1501,AYDINCIK,6,LISE VEYA DENGI MEZUNU,30.0
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1501,AYDINCIK,7,YÜKSEKOKUL VEYA FAKÜLTE MEZUNU,
2021,6,ANKARA,1130,ALTINDAĞ,2429,MERKEZ,1501,AYDINCIK,8,YÜKSEK LISANS,
